Marker,UseForPixelClustering,UseForRegionPixelClustering,KeepOutsideNucleus,Smooth,FillHoles,PassOverallQuality,BackgroundInKeratynocyteNotExpected,RemovePixelBelow_Samples,RemovePixelBelow_Thresholds,RemoveSpots,ContrastRange_min,ContrastRange_max,ContrastRange_min_20230601,ContrastRange_max_20230601
Actin,True,True,None,True,False,True,True,,,False,500,2000,500,2000
Bcl2,True,False,None,True,False,True,True,,,False,125,400,125,400
betaActin,True,False,None,True,False,True,False,,,False,800,3500,500,1500
Caveolin1,True,True,None,True,False,True,True,ROI-27;ROI-53;ROI-54;ROI-55;ROI-56;ROI-57;ROI-58;ROI-59;ROI-60;ROI-61;ROI-62;ROI-63,500;7000;5800;3000;850;400;600;2250;2400;1300;800;1700,False,150,700,150,700
CD11b,True,False,None,True,False,True,True,ROI-25,300,False,200,500,200,500
CD123,True,False,None,True,False,True,True,ROI-22;ROI-23;ROI-24;ROI-25;ROI-26,500;1000;1100;1150;700,False,300,500,125,250
CD13,True,False,None,True,False,True,True,ROI-24;ROI-25;ROI-43,850;1500;850,False,400,1000,800,1200
CD134,True,False,None,True,False,True,True,ROI-25;ROI-26,1400;500,False,200,350,200,350
CD14,True,False,None,True,False,True,True,ROI-63,900,True,300,700,300,700
CD158i,False,False,None,True,False,True,True,,,True,350,650,350,650
CD16,True,False,None,True,False,True,True,ROI-25,300,True,200,500,200,500
CD162,False,False,None,True,False,True,False,,,False,500,2000,500,2000
CD181,False,False,None,True,False,True,True,,,False,450,900,450,900
CD195,False,False,None,True,False,True,True,,,True,500,1800,500,1800
CD196,False,False,None,True,False,True,True,,,False,900,2500,900,2500
CD1c,True,False,None,True,False,True,True,ROI-53;ROI-54;ROI-59;ROI-60;ROI-62;ROI-63,3000;3200;1300;1300;900;900,True,700,1200,700,1200
CD2,True,False,None,True,False,True,True,,,False,350,1000,550,1000
CD204,False,False,None,True,False,True,True,,,False,175,250,175,250
CD209,False,False,None,True,False,False,True,ROI-48;ROI-53;ROI-54;ROI-59;ROI-60,1000;9000;9000;8000;1800,False,300,800,300,800
CD270,False,False,None,True,False,False,True,ROI-24;ROI-25;ROI-26,650;2000;1000,False,,,,
CD279,False,False,None,True,False,False,True,,,False,150,300,150,300
CD3,True,True,None,True,False,True,True,ROI-24,650,False,400,1000,400,1000
CD305,False,False,None,True,False,True,True,ROI-24;ROI-25;ROI-26;ROI-27;ROI-32;ROI-53;ROI-54;ROI-57;ROI-58;ROI-59;ROI-60;ROI-61;ROI-62;ROI-63,600;700;500;700;650;900;900;850;700;1400;1000;850;1200;1500,False,250,500,250,500
CD324,True,True,None,True,True,True,False,ROI-24;ROI-25;ROI-63,300;300;400,False,150,500,150,500
CD4,True,True,None,True,False,True,True,ROI-23;ROI-25;ROI-27,400;400;1100,False,450,1200,450,1200
CD44,True,False,None,True,False,True,True,,,False,150,600,150,600
CD45RA,True,True,None,True,False,True,True,,,False,500,2500,500,2500
CD45RO,False,False,None,True,False,True,True,,,False,500,3500,500,3500
CD5,False,False,None,True,False,True,True,ROI-24;ROI-25;ROI-26;ROI-27;ROI-45;ROI-46;ROI-50;ROI-51;ROI-52;ROI-57;ROI-58;ROI-59;ROI-60;ROI-61;ROI-62;ROI-63,300;1000;400;800;500;450;400;400;300;450;520;350;550;550;550;900,False,150,350,150,350
CD56,False,False,None,True,False,False,True,,,False,2000,4000,2000,4000
CD57,True,False,None,True,False,True,True,,,False,150,300,150,300
CD68,True,False,None,True,False,True,True,,,False,250,800,250,800
CD88,False,False,None,True,False,True,True,,,False,500,1500,500,1500
CD8a,True,False,None,True,False,True,True,ROI-24;ROI-25,500;500,False,350,2000,350,2000
CD99,False,False,None,True,False,True,True,ROI-47;ROI-48;ROI-53;ROI-54;ROI-59;ROI-60;ROI-62;ROI-63,600 ;790 ;2500;1700;1600;650;400;900,False,150,300,200,400
CLA,False,False,None,True,False,True,True,ROI-57;ROI-58;ROI-61;ROI-63,300;300;300;300,False,75,150,200,350
CollagenI,True,True,None,True,False,True,True,,,False,500,10000,500,10000
CollagenIII,True,False,None,True,False,True,True,ROI-23;ROI-25;ROI-26;ROI-27;ROI-57;ROI-58;ROI-59;ROI-60;ROI-61;ROI-62;ROI-63,600;600;600;600 ;600;600;600;600;600;600;600,False,150,500,150,500
CXCL12,False,False,None,True,False,True,True,,,False,1500,8000,1500,8000
Ki67,False,False,None,True,False,True,False,,,False,500,1500,500,1500
CXCR4,False,False,None,True,False,True,False,ROI-08;ROI-13;ROI-14;ROI-21;ROI-24;ROI-25,2000;900;900;900;900;1000,True,500,1500,500,1500
Cytokeratin,True,True,None,True,True,True,False,,,False,250,2000,250,2000
DAPI,False,False,None,True,False,True,True,All,5000,False,5000,65000,5000,65000
FcepsilonRIalpha,True,False,None,True,False,True,True,ROI-25;ROI-59;ROI-60;ROI-61;ROI-62;ROI-63,300;2000;1750;275;275;175,False,125,275,125,275
FoxP3,True,False,False,True,False,True,True,ROI-23;ROI-24;ROI-25;ROI-26;ROI-27;ROI-63,1500;1500;2900;1900;1250;3000,False,550,1200,1250,2250
Galectin3,False,False,None,True,False,True,True,,,False,600,2000,600,2000
Galectin9,False,False,None,True,False,True,True,,,False,500,1000,500,1000
HLAABC,False,False,None,True,False,True,True,ROI-24,1000,True,250,650,350,900
HLADR,True,True,None,True,False,True,True,ROI-20;ROI-25,3000;2500,False,1000,8000,1000,8000
HLADRDPDQ,False,False,None,True,False,True,True,,,False,300,1000,300,1000
IFNgamma,False,False,None,True,False,False,True,,,False,,,,
Jak1,False,False,None,True,False,True,False,ROI-54;ROI-59;ROI-60;ROI-61;ROI-63,3250;3250;2050;1250;850,False,150,300,250,650
LYVE1,True,True,None,True,False,True,True,,,True,1800,3500,1800,3500
p16INK4a,False,False,None,True,False,True,False,,,False,1000,10000,1000,10000
PanActin,False,False,None,True,False,False,True,,,False,,,,
Podoplanin,True,True,None,True,False,True,False,,,False,150,500,150,500
Slug,False,False,None,True,False,True,True,ROI-47;ROI-48;ROI-53;ROI-54;ROI-59;ROI-60;ROI-61;ROI-63,250;500;2200;1850;1150;730;595;250,False,100,250,100,250
STING,False,False,None,True,False,True,True,ROI-12;ROI-18,1000;2900,False,1500,3000,300,750
TIM3,False,False,None,True,False,True,False,ROI-24;ROI-25;ROI-27;ROI-53;ROI-54;ROI-59;ROI-60;ROI-61,850;1000;1400;10000;10000;10000;2200;10000,False,350,800,350,800
TOM22,False,False,None,True,False,True,False,,,False,150,1250,150,1250
TRA185,True,False,None,True,True,True,False,,,False,250,1250,250,1250
TRBC1,False,False,None,True,False,True,True,ROI-59;ROI-60,1000;1000,False,250,1250,250,900
ZAP70,False,False,None,True,False,True,False,,,False,250,700,500,8000
CD79a,True,False,None,True,False,True,True,,,False,200,500,200,500
cmyc,False,False,None,True,False,True,True,ROI-23;ROI-24;ROI-25;ROI-27,2500;2500;2500;2500,False,1235,2000,1000,1750
CD65,False,False,None,True,False,True,True,,,False,350,900,350,900
